recordID,scientificName,gbif_JSON,gbif_family,EOL-ID,genus,species,mo,dy,yr,date,period,plot,note1,stake,locality,coordinates,county,state,country,sex
6545,Amphispiza bilineata,,,,Amphispiza,bilineata,9,18,1982,1982-09-18T00:00:00Z,62,13,13,36,"Winterthur Gardens, Delaware",,NULL,NULL,UNITED STATES,
5220,Amphispiza bilineata,,,,Amphispiza,bilineata,1,24,1982,1982-01-24T00:00:00Z,54,20,13,27,"Winterthur Gardens, Delaware",,NULL,NULL,UNITED STATES,
7020,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilis,harrisi,11,21,1982,1982-11-21T00:00:00Z,63,24,13,72,Muscogee-Rerdido [Perdido] River.,30.44972|-87.38167,Escambia,Florida,United States of America,
7645,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,4,16,1983,1983-04-16T00:00:00Z,67,24,13,21,near Lake Lindsey.,28.63444|-82.35944,Hernando,Florida,United States of America,
8641,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisi,11,13,1983,1983-11-13T00:00:00Z,74,15,13,25,road to St. Mark's lighthouse; St. Mark's Wildlife Refuge.,,Wakulla,Florida,United States of America,
9495,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,8,26,1984,1984-08-26T00:00:00Z,82,9,13,21,3.5 miles north of Allicance Cross Road on Fla. Rt. 71.,,Jackson,Florida,United States of America,
9583,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,9,30,1984,1984-09-30T00:00:00Z,83,15,13,37,"St. Vincent Island, wet swale",,NULL,NULL,UNITED STATES,
9862,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,1,20,1985,1985-01-20T00:00:00Z,86,13,13,11,"Eagle Mountain Trailhead, Clearwater National Forest",46.33778|-115.11639,Idaho,Idaho,UNITED STATES,
9882,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,1,20,1985,1985-01-20T00:00:00Z,86,15,13,31,"Eagle Mountain Trailhead, Clearwater National Forest",46.33778|-115.11639,Idaho,Idaho,UNITED STATES,
9891,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,1,20,1985,1985-01-20T00:00:00Z,86,1,13,43,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
9939,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,2,16,1985,1985-02-16T00:00:00Z,87,20,13,25,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
10153,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,4,20,1985,1985-04-20T00:00:00Z,-88,24,13,15,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
10450,Ammospermophilus harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",,pages/311663,Ammospermophilus,harrisii,6,15,1985,1985-06-15T00:00:00Z,90,19,13,13,"Canyon Creek Trailhead, Clearwater National Forest",45.389905|-114.804434,Idaho,Idaho,UNITED STATES,
